"id","label","prediction_top","confidence_top","predictions_all","ID","Species"
"ASG000053d","species","gazellethomsons","0.3493","{'aardvark': '0.0003', 'aardwolf': '0.0002', 'baboon': '0.0005', 'bat': '0.0000', 'batearedfox': '0.0010', 'buffalo': '0.0018', 'bushbuck': '0.0001', 'bushpig': '0.0000', 'caracal': '0.0005', 'cattle': '0.0001', 'cheetah': '0.0346', 'civet': '0.0002', 'dikdik': '0.0024', 'duiker': '0.0001', 'eland': '0.0008', 'elephant': '0.0052', 'fire': '0.0000', 'gazellegrants': '0.0389', 'gazellethomsons': '0.3493', 'genet': '0.0004', 'giraffe': '0.0132', 'guineafowl': '0.0213', 'hare': '0.0006', 'hartebeest': '0.0087', 'hippopotamus': '0.0000', 'honeybadger': '0.0008', 'human': '0.0132', 'hyenabrown': '0.0000', 'hyenaspotted': '0.0588', 'hyenastriped': '0.0006', 'impala': '0.0003', 'insectspider': '0.0049', 'jackal': '0.0128', 'koribustard': '0.0172', 'kudu': '0.0000', 'leopard': '0.0014', 'lionfemale': '0.0119', 'lionmale': '0.0014', 'mongoose': '0.0115', 'monkeysamango': '0.0001', 'nyala': '0.0000', 'ostrich': '0.0046', 'otherbird': '0.2777', 'porcupine': '0.0002', 'reedbuck': '0.0021', 'reptiles': '0.0008', 'rhinoceros': '0.0006', 'rodents': '0.0006', 'sable': '0.0000', 'secretarybird': '0.0087', 'serval': '0.0131', 'steenbok': '0.0001', 'topi': '0.0011', 'vervetmonkey': '0.0011', 'vulture': '0.0010', 'warthog': '0.0671', 'waterbuck': '0.0000', 'wildcat': '0.0005', 'wilddog': '0.0001', 'wildebeest': '0.0007', 'zebra': '0.0044', 'zorilla': '0.0002'}","16398","cheetah"
"ASG000053d","count","1","0.9038","{'1': '0.9038', '10': '0.0001', '11-50': '0.0001', '2': '0.0697', '3': '0.0180', '4': '0.0049', '5': '0.0020', '51+': '0.0000', '6': '0.0009', '7': '0.0002', '8': '0.0002', '9': '0.0001'}","16398","cheetah"
"ASG000053d","standing","0","0.7902","{'0': '0.7902', '1': '0.2098'}","16398","cheetah"
"ASG000053d","resting","0","0.9779","{'0': '0.9779', '1': '0.0221'}","16398","cheetah"
"ASG000053d","moving","1","0.6315","{'0': '0.3685', '1': '0.6315'}","16398","cheetah"
"ASG000053d","eating","0","0.8703","{'0': '0.8703', '1': '0.1297'}","16398","cheetah"
"ASG000053d","interacting","0","0.9989","{'0': '0.9989', '1': '0.0011'}","16398","cheetah"
"ASG000053d","babies","0","0.9989","{'0': '0.9989', '1': '0.0011'}","16398","cheetah"
"ASG00004yo","species","lionmale","0.3949","{'aardvark': '0.0040', 'aardwolf': '0.0039', 'baboon': '0.0000', 'bat': '0.0000', 'batearedfox': '0.0031', 'buffalo': '0.0006', 'bushbuck': '0.0007', 'bushpig': '0.0010', 'caracal': '0.0136', 'cattle': '0.0001', 'cheetah': '0.0170', 'civet': '0.0020', 'dikdik': '0.0036', 'duiker': '0.0021', 'eland': '0.0033', 'elephant': '0.0031', 'fire': '0.0000', 'gazellegrants': '0.0102', 'gazellethomsons': '0.0026', 'genet': '0.0007', 'giraffe': '0.0000', 'guineafowl': '0.0000', 'hare': '0.0001', 'hartebeest': '0.0007', 'hippopotamus': '0.0082', 'honeybadger': '0.0007', 'human': '0.0000', 'hyenabrown': '0.0000', 'hyenaspotted': '0.1352', 'hyenastriped': '0.0176', 'impala': '0.0002', 'insectspider': '0.0000', 'jackal': '0.0024', 'koribustard': '0.0004', 'kudu': '0.0001', 'leopard': '0.0110', 'lionfemale': '0.3219', 'lionmale': '0.3949', 'mongoose': '0.0009', 'monkeysamango': '0.0001', 'nyala': '0.0000', 'ostrich': '0.0003', 'otherbird': '0.0001', 'porcupine': '0.0008', 'reedbuck': '0.0064', 'reptiles': '0.0001', 'rhinoceros': '0.0003', 'rodents': '0.0009', 'sable': '0.0012', 'secretarybird': '0.0000', 'serval': '0.0005', 'steenbok': '0.0000', 'topi': '0.0013', 'vervetmonkey': '0.0002', 'vulture': '0.0001', 'warthog': '0.0108', 'waterbuck': '0.0008', 'wildcat': '0.0013', 'wilddog': '0.0000', 'wildebeest': '0.0031', 'zebra': '0.0058', 'zorilla': '0.0004'}","16399","cheetah"
"ASG00004yo","count","1","0.9818","{'1': '0.9818', '10': '0.0000', '11-50': '0.0000', '2': '0.0170', '3': '0.0010', '4': '0.0001', '5': '0.0000', '51+': '0.0000', '6': '0.0000', '7': '0.0000', '8': '0.0000', '9': '0.0000'}","16399","cheetah"
"ASG00004yo","standing","0","0.9975","{'0': '0.9975', '1': '0.0025'}","16399","cheetah"
"ASG00004yo","resting","0","0.9999","{'0': '0.9999', '1': '0.0001'}","16399","cheetah"
"ASG00004yo","moving","1","0.9973","{'0': '0.0027', '1': '0.9973'}","16399","cheetah"
"ASG00004yo","eating","0","0.9924","{'0': '0.9924', '1': '0.0076'}","16399","cheetah"
"ASG00004yo","interacting","0","0.9999","{'0': '0.9999', '1': '0.0001'}","16399","cheetah"
"ASG00004yo","babies","0","0.9973","{'0': '0.9973', '1': '0.0027'}","16399","cheetah"
"ASG000018g","species","koribustard","0.4151","{'aardvark': '0.0000', 'aardwolf': '0.0000', 'baboon': '0.0000', 'bat': '0.0000', 'batearedfox': '0.0000', 'buffalo': '0.0000', 'bushbuck': '0.0000', 'bushpig': '0.0000', 'caracal': '0.0000', 'cattle': '0.0000', 'cheetah': '0.0127', 'civet': '0.0000', 'dikdik': '0.0000', 'duiker': '0.0000', 'eland': '0.0001', 'elephant': '0.0000', 'fire': '0.0000', 'gazellegrants': '0.1421', 'gazellethomsons': '0.2921', 'genet': '0.0000', 'giraffe': '0.0001', 'guineafowl': '0.0002', 'hare': '0.0000', 'hartebeest': '0.0012', 'hippopotamus': '0.0000', 'honeybadger': '0.0000', 'human': '0.0013', 'hyenabrown': '0.0000', 'hyenaspotted': '0.0114', 'hyenastriped': '0.0001', 'impala': '0.0000', 'insectspider': '0.0000', 'jackal': '0.0080', 'koribustard': '0.4151', 'kudu': '0.0000', 'leopard': '0.0002', 'lionfemale': '0.0057', 'lionmale': '0.0013', 'mongoose': '0.0007', 'monkeysamango': '0.0000', 'nyala': '0.0000', 'ostrich': '0.0035', 'otherbird': '0.0685', 'porcupine': '0.0000', 'reedbuck': '0.0000', 'reptiles': '0.0002', 'rhinoceros': '0.0000', 'rodents': '0.0000', 'sable': '0.0000', 'secretarybird': '0.0270', 'serval': '0.0003', 'steenbok': '0.0000', 'topi': '0.0001', 'vervetmonkey': '0.0006', 'vulture': '0.0001', 'warthog': '0.0058', 'waterbuck': '0.0000', 'wildcat': '0.0000', 'wilddog': '0.0000', 'wildebeest': '0.0002', 'zebra': '0.0012', 'zorilla': '0.0000'}","16400","cheetah"
"ASG000018g","count","1","0.8586","{'1': '0.8586', '10': '0.0004', '11-50': '0.0021', '2': '0.0960', '3': '0.0265', '4': '0.0082', '5': '0.0047', '51+': '0.0000', '6': '0.0014', '7': '0.0009', '8': '0.0008', '9': '0.0003'}","16400","cheetah"
"ASG000018g","standing","0","0.8152","{'0': '0.8152', '1': '0.1848'}","16400","cheetah"
"ASG000018g","resting","0","0.9986","{'0': '0.9986', '1': '0.0014'}","16400","cheetah"
"ASG000018g","moving","1","0.7685","{'0': '0.2315', '1': '0.7685'}","16400","cheetah"
"ASG000018g","eating","0","0.8245","{'0': '0.8245', '1': '0.1755'}","16400","cheetah"
"ASG000018g","interacting","0","0.9994","{'0': '0.9994', '1': '0.0006'}","16400","cheetah"
"ASG000018g","babies","0","0.9994","{'0': '0.9994', '1': '0.0006'}","16400","cheetah"
